📡  更新日期,#genre#
CCTV13,http://live.nctv.top/5678/cqyx.php?token=&id=cctv13
CCTV14,http://live.nctv.top/5678/cqyx.php?token=&id=cctv14
CCTV15,http://live.nctv.top/5678/cqyx.php?token=&id=cctv15
CCTV16,http://live.nctv.top/5678/cqyx.php?token=&id=cctv16
CCTV17,http://live.nctv.top/5678/cqyx.php?token=&id=cctv17
CHC影迷电影,http://live.nctv.top/5678/cqyx.php?token=&id=chcgq
CHC动作电影,http://live.nctv.top/5678/cqyx.php?token=&id=chcdz
CHC家庭影院,http://live.nctv.top/5678/cqyx.php?token=&id=chcjt
CCTV兵器科技,http://live.nctv.top/5678/cqyx.php?token=&id=bqkj
CCTV第一剧场,http://live.nctv.top/5678/cqyx.php?token=&id=dyjc
CCTV怀旧剧场,http://live.nctv.top/5678/cqyx.php?token=&id=hjjc
CCTV风云剧场,http://live.nctv.top/5678/cqyx.php?token=&id=fyjc
CCTV风云音乐,http://live.nctv.top/5678/cqyx.php?token=&id=fyyy
CCTV风云足球,http://live.nctv.top/5678/cqyx.php?token=&id=fyzq
CCTV央视文化精品,http://live.nctv.top/5678/cqyx.php?token=&id=whjp
CCTV女性时尚,http://live.nctv.top/5678/cqyx.php?token=&id=nxss
CCTV高尔夫网球,http://live.nctv.top/5678/cqyx.php?token=&id=gefwq
CCTV央视台球,http://live.nctv.top/5678/cqyx.php?token=&id=ystq


CCTV1,http://live.nctv.top/5678/bfgd.php?id=488
CCTV2,http://live.nctv.top/5678/bfgd.php?id=061
CCTV3,http://live.nctv.top/5678/bfgd.php?id=062
CCTV4,http://live.nctv.top/5678/bfgd.php?id=063
CCTV5,http://live.nctv.top/5678/bfgd.php?id=064
CCTV5+,http://live.nctv.top/5678/bfgd.php?id=246
CCTV6,http://live.nctv.top/5678/bfgd.php?id=065
CCTV7,http://live.nctv.top/5678/bfgd.php?id=127
CCTV8,http://live.nctv.top/5678/bfgd.php?id=066
CCTV9,http://live.nctv.top/5678/bfgd.php?id=128
CCTV10,http://live.nctv.top/5678/bfgd.php?id=129
CCTV11,http://live.nctv.top/5678/bfgd.php?id=130
CCTV12,http://live.nctv.top/5678/bfgd.php?id=131
CCTV13,http://live.nctv.top/5678/bfgd.php?id=067
CCTV14,http://live.nctv.top/5678/bfgd.php?id=132
CCTV15,http://live.nctv.top/5678/bfgd.php?id=133
CCTV17,http://live.nctv.top/5678/bfgd.php?id=204



CHC影迷电影,https://pi.0472.org/chc/ym.m3u8
CHC动作电影,https://pi.0472.org/chc/dz.m3u8
CHC家庭影院,https://pi.0472.org/chc/jt.m3u8


CCTV1,rtsp://115.153.233.154/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2,rtsp://115.153.233.154/PLTV/88888888/224/3221226825/59814584.smil
CCTV3,rtsp://115.153.245.70/PLTV/88888888/224/3221226841/63329606.smil
CCTV3,rtsp://115.153.233.154/PLTV/88888888/224/3221226930/65406412.smil
CCTV4,rtsp://115.153.233.154/PLTV/88888888/224/3221226838/59814684.smil
CCTV5,rtsp://115.153.233.154/PLTV/88888888/224/3221226852/63329574.smil
CCTV5,rtsp://115.153.212.72/PLTV/88888888/224/3221226907/65396401.smil
CCTV5+,rtsp://115.153.233.154/PLTV/88888888/224/3221226976/85722488.smil
CCTV5+,rtsp://115.153.230.145/PLTV/88888888/224/3221226976/85722488.smil
CCTV6,rtsp://115.153.245.70/PLTV/88888888/224/3221226843/63329570.smil
CCTV6,rtsp://115.153.233.154/PLTV/88888888/224/3221226909/65396493.smil
CCTV7,rtsp://115.153.233.154/PLTV/88888888/224/3221226827/59814693.smil
CCTV8,rtsp://115.153.245.70/PLTV/88888888/224/3221226854/63329578.smil
CCTV8,rtsp://115.153.233.154/PLTV/88888888/224/3221226911/65406606.smil
CCTV9,rtsp://115.153.233.154/PLTV/88888888/224/3221226840/59814699.smil
CCTV10,rtsp://115.153.233.154/PLTV/88888888/224/3221226630/51813372.smil
CCTV11,rtsp://115.153.233.154/PLTV/88888888/224/3221226986/85722616.smil
CCTV12,rtsp://115.153.233.154/PLTV/88888888/224/3221226829/59814709.smil
CCTV13,rtsp://115.153.233.154/PLTV/88888888/224/3221227037/87447722.smil
CCTV14,rtsp://115.153.233.154/PLTV/88888888/224/3221226634/51813368.smil?
CCTV15,rtsp://115.153.233.154/PLTV/88888888/224/3221226988/85722541.smil
CCTV17,rtsp://115.153.233.154/PLTV/88888888/224/3221226846/61397282.smil

CCTV1,rtsp://115.153.212.72/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2,rtsp://115.153.212.72/PLTV/88888888/224/3221226825/59814584.smil
CCTV3,rtsp://115.153.212.72/PLTV/88888888/224/3221226841/63329606.smil
CCTV4,rtsp://115.153.212.72/PLTV/88888888/224/3221226838/59814684.smil
CCTV6,rtsp://115.153.212.72/PLTV/88888888/224/3221226843/63329570.smil
CCTV7,rtsp://115.153.212.72/PLTV/88888888/224/3221226827/59814693.smil
CCTV8,rtsp://115.153.212.72/PLTV/88888888/224/3221226854/63329578.smil
CCTV9,rtsp://115.153.212.72/PLTV/88888888/224/3221226840/59814699.smil
CCTV10,rtsp://115.153.212.72/PLTV/88888888/224/3221226630/51813372.smil
CCTV11,rtsp://115.153.212.72/PLTV/88888888/224/3221226986/85722616.smil
CCTV12,rtsp://115.153.212.72/PLTV/88888888/224/3221226829/59814709.smil
CCTV13,rtsp://115.153.212.72/PLTV/88888888/224/3221227037/87447722.smil
CCTV14,rtsp://115.153.212.72/PLTV/88888888/224/3221226634/51813368.smil?
CCTV15,rtsp://115.153.212.72/PLTV/88888888/224/3221226988/85722541.smil
CCTV17,rtsp://115.153.212.72/PLTV/88888888/224/3221226846/61397282.smil

CCTV1,http://www.erbao1981.top:8188/udp/239.76.253.151:9000
CCTV1,http://www.erbao1981.top:8188/udp/239.76.251.87:9000
CCTV2,http://www.erbao1981.top:8188/udp/239.76.253.152:9000
CCTV3,http://www.erbao1981.top:8188/udp/239.76.253.153:9000
CCTV3,http://www.erbao1981.top:8188/udp/239.76.246.153:1234
CCTV4,http://www.erbao1981.top:8188/udp/239.76.253.154:9000
CCTV4,http://www.erbao1981.top:8188/udp/239.76.246.154:1234
CCTV4,http://www.erbao1981.top:8188/udp/239.76.245.195:1234
CCTV5+,http://www.erbao1981.top:8188/udp/239.76.251.38:9000
CCTV5+,http://www.erbao1981.top:8188/udp/239.76.253.168:9000
CCTV5+,http://www.erbao1981.top:8188/udp/239.76.251.88:9000
CCTV5+,http://www.erbao1981.top:8188/udp/239.76.247.215:1234
CCTV5,http://www.erbao1981.top:8188/udp/239.76.253.155:9000
CCTV5,http://www.erbao1981.top:8188/udp/239.76.247.214:1234
CCTV5,http://www.erbao1981.top:8188/udp/239.76.246.155:1234
CCTV6,http://www.erbao1981.top:8188/udp/239.76.253.156:9000
CCTV6,http://www.erbao1981.top:8188/udp/239.76.246.156:1234
CCTV7,http://www.erbao1981.top:8188/udp/239.76.253.157:9000
CCTV7,http://www.erbao1981.top:8188/udp/239.76.246.157:1234
CCTV8,http://www.erbao1981.top:8188/udp/239.76.253.158:9000
CCTV8,http://www.erbao1981.top:8188/udp/239.76.246.158:1234
CCTV9,http://www.erbao1981.top:8188/udp/239.76.253.159:9000
CCTV9,http://www.erbao1981.top:8188/udp/239.76.246.159:1234
CCTV10,http://www.erbao1981.top:8188/udp/239.76.246.160:1234
CCTV11,http://www.erbao1981.top:8188/udp/239.76.252.251:9000
CCTV11,http://www.erbao1981.top:8188/udp/239.76.245.251:1234
CCTV12,http://www.erbao1981.top:8188/udp/239.76.253.162:9000
CCTV12,http://www.erbao1981.top:8188/udp/239.76.246.162:1234
CCTV13,http://www.erbao1981.top:8188/udp/239.76.253.93:9000
CCTV13,http://www.erbao1981.top:8188/udp/239.76.251.84:9000
CCTV14,http://www.erbao1981.top:8188/udp/239.76.253.164:9000
CCTV15,http://www.erbao1981.top:8188/udp/239.76.252.252:9000
CCTV15,http://www.erbao1981.top:8188/udp/239.76.245.252:1234
CCTV16,http://www.erbao1981.top:8188/udp/239.76.253.98:9000
CCTV16,http://www.erbao1981.top:8188/udp/239.76.246.98:1234
CCTV16,http://www.erbao1981.top:8188/udp/239.76.246.168:1234
CCTV17,http://www.erbao1981.top:8188/udp/239.76.252.238:9000
CCTV17,http://www.erbao1981.top:8188/udp/239.76.245.238:1234

CCTV1,http://www.yao87.com:4022/udp/239.76.253.151:9000
CCTV1,http://www.yao87.com:4022/udp/239.76.251.87:9000
CCTV2,http://www.yao87.com:4022/udp/239.76.253.152:9000
CCTV3,http://www.yao87.com:4022/udp/239.76.253.153:9000
CCTV3,http://www.yao87.com:4022/udp/239.76.246.153:1234
CCTV4,http://www.yao87.com:4022/udp/239.76.253.154:9000
CCTV4,http://www.yao87.com:4022/udp/239.76.246.154:1234
CCTV4,http://www.yao87.com:4022/udp/239.76.245.195:1234
CCTV5+,http://www.yao87.com:4022/udp/239.76.251.38:9000
CCTV5+,http://www.yao87.com:4022/udp/239.76.253.168:9000
CCTV5+,http://www.yao87.com:4022/udp/239.76.251.88:9000
CCTV5+,http://www.yao87.com:4022/udp/239.76.247.215:1234
CCTV5,http://www.yao87.com:4022/udp/239.76.253.155:9000
CCTV5,http://www.yao87.com:4022/udp/239.76.247.214:1234
CCTV5,http://www.yao87.com:4022/udp/239.76.246.155:1234
CCTV6,http://www.yao87.com:4022/udp/239.76.253.156:9000
CCTV6,http://www.yao87.com:4022/udp/239.76.246.156:1234
CCTV7,http://www.yao87.com:4022/udp/239.76.253.157:9000
CCTV7,http://www.yao87.com:4022/udp/239.76.246.157:1234
CCTV8,http://www.yao87.com:4022/udp/239.76.253.158:9000
CCTV8,http://www.yao87.com:4022/udp/239.76.246.158:1234
CCTV9,http://www.yao87.com:4022/udp/239.76.253.159:9000
CCTV9,http://www.yao87.com:4022/udp/239.76.246.159:1234
CCTV10,http://www.yao87.com:4022/udp/239.76.246.160:1234
CCTV11,http://www.yao87.com:4022/udp/239.76.252.251:9000
CCTV11,http://www.yao87.com:4022/udp/239.76.245.251:1234
CCTV12,http://www.yao87.com:4022/udp/239.76.253.162:9000
CCTV12,http://www.yao87.com:4022/udp/239.76.246.162:1234
CCTV13,http://www.yao87.com:4022/udp/239.76.253.93:9000
CCTV13,http://www.yao87.com:4022/udp/239.76.251.84:9000
CCTV14,http://www.yao87.com:4022/udp/239.76.253.164:9000
CCTV15,http://www.yao87.com:4022/udp/239.76.252.252:9000
CCTV15,http://www.yao87.com:4022/udp/239.76.245.252:1234
CCTV16,http://www.yao87.com:4022/udp/239.76.253.98:9000
CCTV16,http://www.yao87.com:4022/udp/239.76.246.98:1234
CCTV16,http://www.yao87.com:4022/udp/239.76.246.168:1234
CCTV17,http://www.yao87.com:4022/udp/239.76.252.238:9000
CCTV17,http://www.yao87.com:4022/udp/239.76.245.238:1234

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8 
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8 
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8 
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CCTV1,http://live.nctv.top/5678/bestv.php?id=cctv1
CCTV2,http://live.nctv.top/5678/bestv.php?id=cctv2
CCTV3,http://live.nctv.top/5678/bestv.php?id=cctv3
CCTV4,http://live.nctv.top/5678/bestv.php?id=cctv4
CCTV5,http://live.nctv.top/5678/bestv.php?id=cctv5
CCTV5+,http://live.nctv.top/5678/bestv.php?id=cctv5p
CCTV5+,http://live.nctv.top/5678/bestv.php?id=cctv5p2
CCTV6,http://live.nctv.top/5678/bestv.php?id=cctv6
CCTV7,http://live.nctv.top/5678/bestv.php?id=cctv7
CCTV8,http://live.nctv.top/5678/bestv.php?id=cctv8
CCTV9,http://live.nctv.top/5678/bestv.php?id=cctv9
CCTV10,http://live.nctv.top/5678/bestv.php?id=cctv10
CCTV11,http://live.nctv.top/5678/bestv.php?id=cctv11
CCTV12,http://live.nctv.top/5678/bestv.php?id=cctv12
CCTV13,http://live.nctv.top/5678/bestv.php?id=cctv13
CCTV14,http://live.nctv.top/5678/bestv.php?id=cctv14
CCTV15,http://live.nctv.top/5678/bestv.php?id=cctv15
CCTV16,http://live.nctv.top/5678/bestv.php?id=cctv16
CCTV164k,http://live.nctv.top/5678/bestv.php?id=cctv164k
CCTV17,http://live.nctv.top/5678/bestv.php?id=cctv17

CCTV1,http://live.nctv.top/5678/migu.php?id=cctv1
CCTV2,http://live.nctv.top/5678/migu.php?id=cctv2
CCTV3,http://live.nctv.top/5678/migu.php?id=cctv3
CCTV4,http://live.nctv.top/5678/migu.php?id=cctv4
CCTV5,http://live.nctv.top/5678/migu.php?id=cctv5
CCTV5+,http://live.nctv.top/5678/migu.php?id=cctv5p
CCTV6,http://live.nctv.top/5678/migu.php?id=cctv6
CCTV7,http://live.nctv.top/5678/migu.php?id=cctv7
CCTV8,http://live.nctv.top/5678/migu.php?id=cctv8
CCTV9,http://live.nctv.top/5678/migu.php?id=cctv9
CCTV10,http://live.nctv.top/5678/migu.php?id=cctv10
CCTV11,http://live.nctv.top/5678/migu.php?id=cctv11
CCTV12,http://live.nctv.top/5678/migu.php?id=cctv12
CCTV13,http://live.nctv.top/5678/migu.php?id=cctv13
CCTV14,http://live.nctv.top/5678/migu.php?id=cctv14
CCTV15,http://live.nctv.top/5678/migu.php?id=cctv15
CCTV16,http://www.erbao1981.top:8188/udp/239.76.246.98:1234
CCTV17,http://live.nctv.top/5678/mg.php?id=cctv17
CCTV4-欧洲,http://live.nctv.top/5678/migu.php?id=cctv4o
CCTV4-美洲,http://live.nctv.top/5678/migu.php?id=cctv4a
CHC家庭影院,http://live.nctv.top/5678/migu.php?id=chcjtyy
CHC动作电影,http://live.nctv.top/5678/migu.php?id=chcdzdy

CCTV1,http://live.nctv.top/5678/sxg.php?id=CCTV-1H265_4000
CCTV2,http://live.nctv.top/5678/sxg.php?id=CCTV-2H265_4000
CCTV3,http://live.nctv.top/5678/sxg.php?id=CCTV-3H265_4000
CCTV4,http://live.nctv.top/5678/sxg.php?id=CCTV-4H265_4000
CCTV5,http://live.nctv.top/5678/sxg.php?id=CCTV-5H265_4000
CCTV5+,http://live.nctv.top/5678/sxg.php?id=CCTV-5plusH265_4000
CCTV6,http://live.nctv.top/5678/sxg.php?id=CCTV-6H265_4000
CCTV7,http://live.nctv.top/5678/sxg.php?id=CCTV-7H265_4000
CCTV8,http://live.nctv.top/5678/sxg.php?id=CCTV-8H265_4000
CCTV9,http://live.nctv.top/5678/sxg.php?id=CCTV-9H265_4000
CCTV10,http://live.nctv.top/5678/sxg.php?id=CCTV-10H265_4000
CCTV11,http://live.nctv.top/5678/sxg.php?id=CCTV-11-H265_4000
CCTV12,http://live.nctv.top/5678/sxg.php?id=CCTV-12H265_4000
CCTV13,http://live.nctv.top/5678/sxg.php?id=CCTV-xw_4000
CCTV14,http://live.nctv.top/5678/sxg.php?id=CCTV-14H265_4000
CCTV15,http://live.nctv.top/5678/sxg.php?id=CCTV-15-yyH265_4000
CCTV16,http://live.nctv.top/5678/sxg.php?id=CCTV-16_4000
CCTV164K,http://live.nctv.top/5678/sxg.php?id=CCTV-16-4K_8000
CCTV17,http://live.nctv.top/5678/sxg.php?id=CCTV-17_4000
CCTV-4K,http://live.nctv.top/5678/sxg.php?id=ys4Kcq_2000
CHC动作电影,http://live.nctv.top/5678/sxg.php?id=wqCHCdzdyH265_4000
CHC影迷电影,http://live.nctv.top/5678/sxg.php?id=lnwsCHC-HDH265_4000
CHC家庭影院,http://live.nctv.top/5678/sxg.php?id=jbtygqCHCjtyyH265_4000


CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8


CHC动作电影,rtsp://115.153.233.154/PLTV/88888888/224/3221226992/86128817.smil
CHC影迷电影,rtsp://115.153.233.154/PLTV/88888888/224/3221226990/86128784.smil
CHC家庭影院,rtsp://115.153.233.154/PLTV/88888888/224/3221226959/86128800.smil

CHC家庭影院,http://www.erbao1981.top:8188/udp/239.76.245.241:1234
CHC影迷电影,http://www.erbao1981.top:8188/udp/239.76.245.242:1234
CHC动作电影,http://www.erbao1981.top:8188/udp/239.76.245.243:1234

CHC影迷电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8

CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8
CCTV7,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8
CCTV11,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225597/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8
CCTV13,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225601/index.m3u8
CCTV16,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8
CCTV17,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8

CCTV1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/1.m3u8
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8
CCTV4,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8
CCTV5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/1.m3u8
CCTV5+,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/1.m3u8
CCTV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8
CCTV7,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/1.m3u8
CCTV8,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/1.m3u8
CCTV9,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/1.m3u8
CCTV10,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/1.m3u8
CCTV11,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8
CCTV12,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8
CCTV13,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8
CCTV14,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8
CCTV15,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/1.m3u8
CCTV16,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8
CCTV17,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/1.m3u8

CCTV4-欧洲,rtsp://115.153.230.145/PLTV/88888888/224/3221226964/77799053.smil
CCTV4-美洲,rtsp://115.153.230.145/PLTV/88888888/224/3221226962/77799052.smil

CCTV4-欧洲,http://www.erbao1981.top:8188/udp/239.76.246.95:1234
CCTV4-美洲,http://www.erbao1981.top:8188/udp/239.76.246.96:1234

CCTV4-欧洲,http://gmxw.7766.org:808/hls/67/index.m3u8
CCTV4-美洲,http://gmxw.7766.org:808/hls/77/index.m3u8

CCTV第一剧场,rtsp://115.153.230.145/PLTV/88888888/224/3221226961/86128891.smil
CCTV风云剧场,rtsp://115.153.230.145/PLTV/88888888/224/3221226963/86128874.smil
CCTV怀旧剧场,rtsp://115.153.230.145/PLTV/88888888/224/3221226996/86128881.smil
CCTV风云足球,rtsp://115.153.230.145/PLTV/88888888/224/3221227000/86128919.smil
CCTV电视指南,rtsp://115.153.230.145/PLTV/88888888/224/3221226969/86129034.smil
CCTV兵器科技,rtsp://115.153.230.145/PLTV/88888888/224/3221227004/86132185.smil
CCTV央视台球,rtsp://115.153.230.145/PLTV/88888888/224/3221226955/861081.smil
CCTV央视文化精品,rtsp://115.153.230.145/PLTV/88888888/224/3221226957/86128679.smil
CCTV世界地理,rtsp://115.153.230.145/PLTV/88888888/224/3221226965/86128966.smil
CCTV女性时尚,rtsp://115.153.230.145/PLTV/88888888/224/3221226998/86128978.smil
CCTV高尔夫网球,rtsp://115.153.230.145/PLTV/88888888/224/3221226967/86128985.smil
CCTV风云音乐,rtsp://115.153.230.145/PLTV/88888888/224/3221226994/86128897.smil

